Sample,Room_Number,Abundance,location,Room_Type,Time,Kingdom,Phlylum,Class,Order,Family,Genus
W5T1_P,5,0.032872474,Palm,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T1_SA,5,0.000402998,Saliva,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T1_W,5,0.126716228,Window,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T2_AD,5,0.196449292,AirDuct,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T2_W,5,0.214285714,Window,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T3_AD,5,0.09649307,AirDuct,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T3_AF,5,0.10460921,AirFilter,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T3_P,5,0.59645348,Palm,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T3_SA,5,0,Saliva,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W5T3_W,5,0.041946309,Window,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T1_AD,6,0.189736869,AirDuct,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T1_AF,6,0.000349033,AirFilter,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T1_P,6,0.735510501,Palm,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T1_SA,6,0,Saliva,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T1_W,6,0.19370936,Window,View,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T2_AD,6,0.250638978,AirDuct,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T2_W,6,0.085142321,Window,View,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T3_AD,6,0.123074965,AirDuct,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T3_AF,6,0,AirFilter,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T3_P,6,0.808921051,Palm,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T3_SA,6,0,Saliva,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
W6T3_W,6,0.063905895,Window,View,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
