Day,Time,Condition,Envir,Reading,PID
T2,14:00:00,View,co2,530.8,WR4
T2,14:15:00,View,co2,551.8,WR4
T2,14:30:00,View,co2,540.4,WR4
T2,14:45:00,View,co2,527.9,WR4
T2,15:00:00,View,co2,486.2,WR4
T2,15:15:00,View,co2,486.6,WR4
T2,15:30:00,View,co2,496.3,WR4
T2,15:45:00,View,co2,490.3,WR4
T2,16:00:00,View,co2,499.7,WR4
T2,16:15:00,View,co2,507.3,WR4
T2,16:30:00,View,co2,506.4,WR4
T2,16:45:00,View,co2,494.3,WR4
T2,17:00:00,View,co2,492.3,WR4
T2,17:15:00,View,co2,501.1,WR4
T2,17:30:00,View,co2,481.9,WR4
T2,17:45:00,View,co2,468.2,WR4
T2,18:00:00,View,co2,462.7,WR4
T2,18:15:00,View,co2,474.4,WR4
T2,18:30:00,View,co2,480.1,WR4
T2,18:45:00,View,co2,479.3,WR4
T2,19:00:00,View,co2,477,WR4
T2,19:15:00,View,co2,481.4,WR4
T2,19:30:00,View,co2,483.5,WR4
T2,19:45:00,View,co2,476.4,WR4
T2,20:00:00,View,co2,478.3,WR4
T2,20:15:00,View,co2,486.7,WR4
T2,20:30:00,View,co2,478.9,WR4
T2,20:45:00,View,co2,478,WR4
T2,21:00:00,View,co2,478.4,WR4
T2,21:15:00,View,co2,487.2,WR4
T2,21:30:00,View,co2,480.7,WR4
T2,21:45:00,View,co2,472.2,WR4
T2,22:00:00,View,co2,464.7,WR4
T2,22:15:00,View,co2,461.3,WR4
T2,22:30:00,View,co2,461.2,WR4
T2,22:45:00,View,co2,468,WR4
T2,23:00:00,View,co2,473.4,WR4
T2,23:15:00,View,co2,472.3,WR4
T2,23:30:00,View,co2,473.2,WR4
T2,23:45:00,View,co2,475,WR4
T3,0:00:00,View,co2,466.9,WR4
T3,0:15:00,View,co2,466.1,WR4
T3,0:30:00,View,co2,462.1,WR4
T3,0:45:00,View,co2,461.5,WR4
T3,1:00:00,View,co2,466.8,WR4
T3,1:15:00,View,co2,456,WR4
T3,1:30:00,View,co2,452.9,WR4
T3,1:45:00,View,co2,460.3,WR4
T3,2:00:00,View,co2,459.4,WR4
T3,2:15:00,View,co2,453.9,WR4
T3,2:30:00,View,co2,451.4,WR4
T3,2:45:00,View,co2,448.8,WR4
T3,3:00:00,View,co2,447.1,WR4
T3,3:15:00,View,co2,447.7,WR4
