Day,Time,Condition,Envir,Reading,PID
T3,20:00:00,Blinds,temp,74.5,RR1
T3,20:15:00,Blinds,temp,74.4,RR1
T3,20:30:00,Blinds,temp,74.1,RR1
T3,20:45:00,Blinds,temp,74.1,RR1
T3,21:00:00,Blinds,temp,73.8,RR1
T3,21:15:00,Blinds,temp,73.9,RR1
T3,21:30:00,Blinds,temp,73.7,RR1
T3,21:45:00,Blinds,temp,74.3,RR1
T3,22:00:00,Blinds,temp,73.8,RR1
T3,22:15:00,Blinds,temp,74.6,RR1
T3,22:30:00,Blinds,temp,73.9,RR1
T3,22:45:00,Blinds,temp,74.6,RR1
T3,23:00:00,Blinds,temp,73.9,RR1
T3,23:15:00,Blinds,temp,74.8,RR1
T3,23:30:00,Blinds,temp,73.9,RR1
T3,23:45:00,Blinds,temp,74.8,RR1
T0,7:30:00,Blinds,temp,61.9,RR2
T0,7:45:00,Blinds,temp,66,RR2
T0,8:00:00,Blinds,temp,68.4,RR2
T0,8:15:00,Blinds,temp,69.5,RR2
T0,8:30:00,Blinds,temp,70.1,RR2
T0,8:45:00,Blinds,temp,70.4,RR2
T0,9:00:00,Blinds,temp,70.9,RR2
T0,9:15:00,Blinds,temp,71.5,RR2
T0,9:30:00,Blinds,temp,72.1,RR2
T0,9:45:00,Blinds,temp,72,RR2
T0,10:00:00,Blinds,temp,72.1,RR2
T0,10:15:00,Blinds,temp,72.3,RR2
T0,10:30:00,Blinds,temp,72.3,RR2
T0,10:45:00,Blinds,temp,72.6,RR2
T0,11:00:00,Blinds,temp,72.4,RR2
T0,11:15:00,Blinds,temp,72.6,RR2
T0,11:30:00,Blinds,temp,72.5,RR2
T0,11:45:00,Blinds,temp,72.1,RR2
T0,12:00:00,Blinds,temp,72.3,RR2
T0,12:15:00,Blinds,temp,72.4,RR2
T0,12:30:00,Blinds,temp,72.5,RR2
T0,12:45:00,Blinds,temp,73,RR2
T0,13:00:00,Blinds,temp,72.9,RR2
T0,13:15:00,Blinds,temp,73.5,RR2
T0,13:30:00,Blinds,temp,73.4,RR2
T0,13:45:00,Blinds,temp,70.7,RR2
T0,14:00:00,Blinds,temp,71.7,RR2
T0,14:15:00,Blinds,temp,73.1,RR2
T0,14:30:00,Blinds,temp,74,RR2
