Day,Time,Condition,Envir,Reading,PID
T3,11:15:00,Blinds,pm25,0,RR1
T3,11:30:00,Blinds,pm25,0.1,RR1
T3,11:45:00,Blinds,pm25,0,RR1
T3,12:00:00,Blinds,pm25,0,RR1
T3,12:15:00,Blinds,pm25,0,RR1
T3,12:30:00,Blinds,pm25,0.1,RR1
T3,12:45:00,Blinds,pm25,0.1,RR1
T3,13:00:00,Blinds,pm25,1.7,RR1
T3,13:15:00,Blinds,pm25,0.6,RR1
T3,13:30:00,Blinds,pm25,0,RR1
T3,13:45:00,Blinds,pm25,0.1,RR1
T3,14:00:00,Blinds,pm25,0.1,RR1
T3,14:15:00,Blinds,pm25,0,RR1
T3,14:30:00,Blinds,pm25,0,RR1
T3,14:45:00,Blinds,pm25,0.1,RR1
T3,15:00:00,Blinds,pm25,0,RR1
T3,15:15:00,Blinds,pm25,0,RR1
T3,15:30:00,Blinds,pm25,0,RR1
T3,15:45:00,Blinds,pm25,0,RR1
T3,16:00:00,Blinds,pm25,0,RR1
T3,16:15:00,Blinds,pm25,0,RR1
T3,16:30:00,Blinds,pm25,0,RR1
T3,16:45:00,Blinds,pm25,0.1,RR1
T3,17:00:00,Blinds,pm25,0.1,RR1
T3,17:15:00,Blinds,pm25,0,RR1
T3,17:30:00,Blinds,pm25,0,RR1
T3,17:45:00,Blinds,pm25,0.1,RR1
T3,18:00:00,Blinds,pm25,0,RR1
T3,18:15:00,Blinds,pm25,0.1,RR1
T3,18:30:00,Blinds,pm25,0.1,RR1
T3,18:45:00,Blinds,pm25,0.1,RR1
T3,19:00:00,Blinds,pm25,0.1,RR1
T3,19:15:00,Blinds,pm25,0,RR1
T3,19:30:00,Blinds,pm25,0.1,RR1
T3,19:45:00,Blinds,pm25,0.2,RR1
T3,20:00:00,Blinds,pm25,0.1,RR1
T3,20:15:00,Blinds,pm25,0,RR1
T3,20:30:00,Blinds,pm25,0,RR1
T3,20:45:00,Blinds,pm25,0.1,RR1
T3,21:00:00,Blinds,pm25,0.2,RR1
T3,21:15:00,Blinds,pm25,0.1,RR1
T3,21:30:00,Blinds,pm25,0.4,RR1
T3,21:45:00,Blinds,pm25,0.1,RR1
T3,22:00:00,Blinds,pm25,0.1,RR1
T3,22:15:00,Blinds,pm25,0,RR1
T3,22:30:00,Blinds,pm25,0.6,RR1
T3,22:45:00,Blinds,pm25,0.5,RR1
T3,23:00:00,Blinds,pm25,0.2,RR1
T3,23:15:00,Blinds,pm25,1,RR1
T3,23:30:00,Blinds,pm25,0.1,RR1
T3,23:45:00,Blinds,pm25,0.2,RR1
T0,7:30:00,Blinds,pm25,0,RR2
T0,7:45:00,Blinds,pm25,0,RR2
T0,8:00:00,Blinds,pm25,0,RR2
T0,8:15:00,Blinds,pm25,0,RR2
T0,8:30:00,Blinds,pm25,0,RR2
T0,8:45:00,Blinds,pm25,0,RR2
T0,9:00:00,Blinds,pm25,0,RR2
T0,9:15:00,Blinds,pm25,0,RR2
T0,9:30:00,Blinds,pm25,0.1,RR2
T0,9:45:00,Blinds,pm25,0.1,RR2
